item_name,survey,study,year,prop_r_correct,prop_d_correct,dem_minus_rep,std.error,statistic,p.value,n_dem,n_rep,prop_correct_all
jnj_2,jnj,Jerit & Barabas,-1,0.6612111292962328,0.5782945736434085,-0.08291655565282434,0.027342765486888663,-3.0324860772618,0.002475293004411477,645,611,0.618630573248405
jnj_4,jnj,Jerit & Barabas,-1,0.7533333333333317,0.746913580246912,-0.006419753086419712,0.04922200851446556,-0.13042444386504565,0.8963152207096173,162,150,0.7499999999999984
jnj_12,jnj,Jerit & Barabas,-1,0.1946308724832214,0.30379746835442983,0.10916659587120844,0.0492685910168659,2.215744221989988,0.027447165463359798,158,149,0.25081433224755667
jnj_20,jnj,Jerit & Barabas,-1,0.2111801242236027,0.30281690140845086,0.09163677718484815,0.050009250015477374,1.8323965497680421,0.06788018247603493,142,161,0.2541254125412543
jnj_21,jnj,Jerit & Barabas,-1,0.32298136645962755,0.27464788732394374,-0.048333479135683796,0.052874500620845706,-0.9141169858468295,0.36138703439909214,142,161,0.3003300330033005
jnj_22,jnj,Jerit & Barabas,-1,0.5403726708074513,0.5704225352112657,0.030049864403814464,0.05738302263545382,0.523671689355177,0.600892249426141,142,161,0.5544554455445525
jnj_25,jnj,Jerit & Barabas,-1,0.11917098445595838,0.6108374384236439,0.49166645396768555,0.04192435142103961,11.72746714743318,1.8950119300726807e-27,203,193,0.3712121212121211
jnj_26,jnj,Jerit & Barabas,-1,0.3782383419689145,0.6059113300492602,0.22767298808034578,0.0490700579646029,4.639753803522702,4.755482795645479e-6,203,193,0.49494949494949614
jnj_27,jnj,Jerit & Barabas,-1,0.9430051813471577,0.7241379310344909,-0.21886725031266682,0.036144098253828194,-6.055407684420112,3.2691591797451576e-9,203,193,0.8308080808080883
jnj_28,jnj,Jerit & Barabas,-1,0.8341968911917141,0.4532019704433553,-0.38099492074835883,0.044444433955766326,-8.572387739880927,2.3354742943552327e-16,203,193,0.6388888888888933
jnj_31,jnj,Jerit & Barabas,-1,0.7386666666666645,0.5761194029850741,-0.16254726368159036,0.035084418669501426,-4.633032834683712,4.2889994118794875e-6,335,375,0.661971830985914
jnj_33,jnj,Jerit & Barabas,-1,0.432000000000001,0.4537313432835828,0.02173134328358178,0.037381275974663376,0.5813430044044255,0.5611943283062466,335,375,0.4422535211267614
jnj_34,jnj,Jerit & Barabas,-1,0.25066666666666726,0.2835820895522391,0.03291542288557186,0.03325023704849777,0.9899304729034695,0.32254629305831517,335,375,0.266197183098592
jnj_35,jnj,Jerit & Barabas,-1,0.744479495268131,0.6181229773462712,-0.12635651792185978,0.03694073343386842,-3.420520010737312,6.658065899226305e-4,309,317,0.682108626198076
jnj_36,jnj,Jerit & Barabas,-1,0.6073825503355745,0.5043478260869606,-0.1030347242486139,0.0391771774005616,-2.629968034581708,0.008744296915970756,345,298,0.5520995334370177
jnj_37,jnj,Jerit & Barabas,-1,0.38957055214724085,0.3079365079365095,-0.08163404421073131,0.03759073185910997,-2.1716534947150175,0.030248953213552785,315,326,0.3494539781591277
jnj_39,jnj,Jerit & Barabas,-1,0.46814404432132617,0.43143812709029783,-0.036705917231028354,0.03894640172939949,-0.9424726188073015,0.3462966173829216,299,361,0.4515151515151483
jnj_41,jnj,Jerit & Barabas,-1,0.4986149584487487,0.48829431438126564,-0.010320644067483066,0.03915227130540168,-0.2636026908114312,0.7921686132783615,299,361,0.49393939393938896
jnj_43,jnj,Jerit & Barabas,-1,0.19709208400646144,0.15053763440860143,-0.04655444959786,0.021222082636884847,-2.1936795928287673,0.02843944825565752,651,619,0.17322834645669236
jnj_45,jnj,Jerit & Barabas,-1,0.5906432748538023,0.43333333333333557,-0.1573099415204667,0.05100002323162337,-3.0845072522030574,0.0021884389627690086,210,171,0.5039370078740172
jnj_46,jnj,Jerit & Barabas,-1,0.28070175438596434,0.21904761904761896,-0.061654135338345385,0.04440951858218652,-1.3883090226309276,0.1658584192758394,210,171,0.24671916010498648
jnj_47,jnj,Jerit & Barabas,-1,0.31578947368420945,0.31904761904761875,0.0032581453634093053,0.04807833513086382,0.06776743318047516,0.9460065050663533,210,171,0.3175853018372697
jnj_48,jnj,Jerit & Barabas,-1,0.22222222222222246,0.3015873015873019,0.07936507936507946,0.08221699055986653,0.9653123864621335,0.3364139566609019,63,54,0.2649572649572653
jnj_49,jnj,Jerit & Barabas,-1,0.225609756097561,0.22169811320754731,-0.003911642890013689,0.043431087435976505,-0.09006550655172975,0.9282833729675113,212,164,0.22340425531914904
jnj_51,jnj,Jerit & Barabas,-1,0.6707317073170735,0.5518867924528313,-0.11884491486424219,0.05062961131150768,-2.3473400602076073,0.019428691654344913,212,164,0.6037234042553198
jnj_52,jnj,Jerit & Barabas,-1,0.20731707317073172,0.17452830188679283,-0.0327887712839389,0.04077352804820508,-0.8041681172444511,0.42181074043582345,212,164,0.18882978723404276
jnj_63,jnj,Jerit & Barabas,-1,0.37179487179487014,0.2857142857142842,-0.08608058608058596,0.025237340028809164,-3.410842267145525,6.663590640893876e-4,756,624,0.32463768115941893
jnj_64,jnj,Jerit & Barabas,-1,0.42628205128204844,0.4695767195767185,0.043294668294670054,0.026901786852531275,1.6093603198925175,0.10776662306195282,756,624,0.44999999999999796
jnj_65,jnj,Jerit & Barabas,-1,0.23717948717948675,0.15343915343915218,-0.08374033374033457,0.02116919334241709,-3.955764038138504,8.017123428930935e-5,756,624,0.1913043478260863
